#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
pagan_group;Northern;Païen;Nordländer;;Paganos;;;;;;;;;x
northern_religions;Northern;;;;;;;;;;;;;x
southern_religions;Southern;;;;;;;;;;;;;x
eastern_religions;Eastern;;;;;;;;;;;;;x
eternal_fire;Eternal Fire;;;;;;;;;;;;;x
spider;Coram Agh Tera;;;;;;;;;;;;;x
melitele;Melitele;;;;;;;;;;;;;x
freya;Freya;;;;;;;;;;;;;x
kreve;Kreve;;;;;;;;;;;;;x
lebioda;Prophet Lebioda;;;;;;;;;;;;;x
nature;Nature;;;;;;;;;;;;;x
dana_meadbh;Dana Meadbh;;;;;;;;;;;;;x
EMPEROR;Emperor;Emperor;Emperor;;Emperor;;;;;;;;;x
EMPEROR_FOA;Emperor;Emperor;Emperor;;Emperor;;;;;;;;;x
HIERARCH;Hierarch;Hierarch;Hierarch;;Hierarch;;;;;;;;;x
HIERARCH_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
GOD_MOTHER;The Mother;;;;;;;;;;;;;x
GOD_MELITELE;Melitele;;;;;;;;;;;;;x
solar;Solar;;;;;;;;;;;;;
sol_apollo;Sol Apollo;;;;;;;;;;;;;
solar_reformed;Solar;;;;;;;;;;;;;
nature_reformed;Nature;;;;;;;;;;;;;
lebioda_reformed;Prophet Lebioda;;;;;;;;;;;;;
yer;Yer;;;;;;;;;;;;;x
yer_reformed;Yer;;;;;;;;;;;;;x
yer_DESC;Yerism is the religion of the steppe peoples of the continent, especially Haak nomads. The chief goddess is Yer, the goddess of earth. Shamanism and animism also feature prominently in the religion. Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers lose Prestige if at peace for too long\n§Y*§! The Tengri Pagan faith can be Reformed;;;;;;;;;x
solar_DESC;Worshippers of the Sun and Emperor, mainly in Nilfgaard;;;;;;;;;;;;;
melitele_DESC;Melitele is a mother goddess worshipped in the Northern Kingdoms.;;;;;;;;;;;;;
kreve_DESC;Kreve - one of the gods worshipped in the Northern Kingdoms.;;;;;;;;;;;;;
spider_DESC;The Cult of the Lionheaded Spider or Coram Agh Tera. The cult makes bloody sacrifices for its cruel god and the priestesses are known for their powerful curses.;;;;;;;;;;;;;
lebioda_DESC;Followers of Prophet Lebioda, and his teachings.;;;;;;;;;;;;;
nature_DESC;Faith of the Dryad people, worshippers of nature.;;;;;;;;;;;;;
dana_meadbh_DESC;The goddess of Elven people. Also known as Eternal One, Queen of the Fields, Lyfia and Bloemenmadge.;;;;;;;;;;;;;
eternal_fire_DESC;Worshippers of the Eternal Fire believe in the undying flame as a symbol of survival and a guide through darkness. They view it as a harbinger of progress and better days to come. Clerics of the Eternal Fire oversee the faithful as well as their temples, where flames burn continuously. The Order of the Flaming Rose is the cult's militant arm.;;;;;;;;;;;;;
solar_reformed_ DESC;Worshippers of the Sun and Emperor, mainly in Nilfgaard;;;;;;;;;;;;;
sol_apollo_desc;Followers of Sun, heresy to Solar.;;;;;;;;;;;;;
freya_DESC;Freya is the goddess of fertility, love and beauty, also known as the Great Mother. She wears a magical necklace called Brisingamen and is principally worshipped by the people of the Skellige Islands.;;;;;;;;;;;;;
elven_religions;Elven;;;;;;;;;;;;;
