DYN1_DESC;With a score of $SCORE$ you$FAILED$ beat House var Emreis. Members of this dynasty unified the kingdoms in the south and founded the Nilfgaardian empire only 132 years ago. Now Nilfgaard rules all the kingdoms up to the Jaruga.;;;;;;;;;;;;;x
DYN2_DESC;With a score of $SCORE$ you$FAILED$ beat the Radowidowie dynasty. The line began with Sambuk, one of the first human rulers of the continent. His descendants founded the kingdoms of Redania and Temeria.;;;;;;;;;;;;;x
DYN3_DESC;With a score of $SCORE$ you$FAILED$ beat the Dezmoden dynasty. For generations members of this dynasty rule over Temeria.;;;;;;;;;;;;;x
DYN4_DESC;With a score of $SCORE$ you$FAILED$ beat the Cerbinsoun dynasty. For generations members of this dynasty rule over Cintra, a cadet branch over Lyria;;;;;;;;;;;;;x
DYN5_DESC;With a score of $SCORE$ you$FAILED$ beat the Edinorog dynasty. For generations members of this dynasty rule over Kaedwen.;;;;;;;;;;;;;x
DYN6_DESC;With a score of $SCORE$ you$FAILED$ beat House Thyssen descended from Godamba Thaess'en. His descendants ruled over Kovir after the Trojdeninds died out.
DYN7_DESC;With a score of $SCORE$ you$FAILED$ beat House Feleaorn, one of the ruling Elven dynasty before the humans arrived
DYN8_DESC;With a score of $SCORE$ you$FAILED$ beat House of Skellige, rulers of the Skellige Islands.
DYN9_DESC;With a score of $SCORE$ you$FAILED$ beat House of Ethain, rulers of Cidaris
DYN10_DESC;With a score of $SCORE$ you$FAILED$ beat House Baldwining, rulers of Aedirn.
DYN11_DESC;With a score of $SCORE$ you$FAILED$ beat House Trojden, first rulers of Kovir. Descending from the younger brother of Radowid of Redania the Trojdenids forged the cold northern provinces of Kovir into a powerful kingdom. The Thyssenids are their descendents via the female line.
DYN12_DESC;With a score of $SCORE$ you$FAILED$ beat House Voorhis, a powerful Nilfgaardian dynasty that's closely related to the var Emreis. Morvran Voorhis became Nilfgaardian Emperor after Emhyr died. 
DYN13_DESC;With a score of $SCORE$ you$FAILED$ beat House Etcheverry, lowly counts spead out over Temeria. 
DYN14_DESC;With a score of $SCORE$ you$FAILED$ beat House Pangratz. They are only known for being the dynasty of the famous bard Dandelion á la Alfred Julian Pankratz viscount de Lettehove.
DYN15_DESC;With a score of $SCORE$ you$FAILED$ beat House Loredo. The only thing that history will remember from this house is that they slaughtered half they allowed a progrom to happen and then sold out to Kaedwen, the enemy.
