EVTDESC550100;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight better with a sword.;;;;;;;;;x
EVTDESC550101;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;Vous demandez à [Root.Guardian.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;;You asked [Root.Guardian.GetTitledFirstName] to teach you how to fight even better with a sword.;;;;;;;;;x
EVTDESC550103;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;Vous voulez [Root.Guardian.GetTitledFirstName] pour vous aider à vraiment maîtriser l'art du combat à l'épée! ;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;;You want [Root.Guardian.GetTitledFirstName] to help you TRULY master the art of swordmanship!;;;;;;;;;x
EVTDESC5550105;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;Grâce à mes conseils, mon jeune [GetFromRelation], [From.GetFirstName], commence lentement à maîtriser l'art du combat à l'épée.;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;;Under my guidance, my young [GetFromRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;;;;;;;;;x
EVTDESC5550112;The sword in my hand seems heavier and heavier every year...;L'épée dans ma main semble de plus en plus lourde d'année en année…;The sword in my hand seems heavier and heavier every year...;;The sword in my hand seems heavier and heavier every year...;;;;;;;;;x
EVTOPTA5550100;Stick 'em with the pointy end!;Transpercez-les avec la pointe de la lame! ;Stick 'em with the pointy end!;;Stick 'em with the pointy end!;;;;;;;;;x
master_warrior;Formidable Fighter;Combattant formidable;Formidable Fighter;;Formidable Fighter;;;;;;;;;x
master_warrior_desc;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield.;Ce personnage est l'une des plus fines lames de le monde, il est favorisé par Dieu et redouté sur le champs de bataille. ;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield.;;This character is one of the greatest warriors in the world, favored by God and dreaded on the battlefield.;;;;;;;;;x
poor_warrior;Poor Fighter;Mauvais combattant;Poor Fighter;;Poor Fighter;;;;;;;;;x
poor_warrior_desc;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;Ce personnage comprend les bases du combat, mais il est négligent, présomptueux et inexpérimenté.;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;;;;;;;;;x
skilled_warrior;Skilled Fighter;Combattant talentueux;Skilled Fighter;;Skilled Fighter;;;;;;;;;x
skilled_warrior_desc;This character possesses a certain talent for battle and swordplay.;Ce personnage possède un certain talent pour les batailles et les duels à l'épée.;This character possesses a certain talent for battle and swordplay.;;This character possesses a certain talent for battle and swordplay.;;;;;;;;;x
trained_warrior;Trained Fighter;Combattant entraîné;Trained Fighter;;Trained Fighter;;;;;;;;;x
trained_warrior_desc;This character has received training in the art of combat. While no master, they can hold their own in a fight.;Ce personnage a suivit un entrainement dans l'art de la guerre. S'il n'est pas un maître, il peut se débrouiller dans un combat.;This character has received training in the art of combat. While no master, they can hold their own in a fight.;;This character has received training in the art of combat. While no master, they can hold their own in a fight.;;;;;;;;;x
EVTDESC5550111;As I lay in my bed this night, I remember the training I went through when I was a child, learning to fight. I wonder if those skills will ever be useful to me.;Comme laïcs dans mon lit cette nuit, je me souviens de la formation que j'ai vécu quand j'étais un enfant, apprendre à combattre. Je me demande si ces compétences ne sera jamais utile pour moi.;Da lag in meinem Bett in dieser Nacht, ich erinnere mich die Ausbildung, die ich durchgemacht habe, als ich ein Kind war, zu lernen, zu kämpfen. Ich frage mich, ob diese Fähigkeiten überhaupt nützlich sein wird für mich.;Como laicos en mi cama esta noche, me acuerdo de la formación que pasé cuando era un niño, aprender a luchar. Me pregunto si esas habilidades volverá a ser útil para mí.;;;;;;;;;x
EVTOPTREMEMBERTRAINING;I remember those days well.;Je me souviens bien de cette époque.;Ich erinnere mich an jene Tage gut.;Recuerdo esos días también.;;;;;;;;;x
