cf_spring;Spring (Oceanic Climate);;;;;;;;;;;x
cf_port_spring;Spring (Oceanic Climate);;;;;;;;;;;x
cf_summer;Summer (Oceanic Climate);;;;;;;;;;;x
cf_port_summer;Summer (Oceanic Climate);;;;;;;;;;;x
cf_autumn;Autumn (Oceanic Climate);;;;;;;;;;;x
cf_port_autumn;Autumn (Oceanic Climate);;;;;;;;;;;x
cf_winter;Winter (Oceanic Climate);;;;;;;;;;;x
cf_port_winter;Winter (Oceanic Climate);;;;;;;;;;;x
cs_spring;Spring (Mediterranean Climate);;;;;;;;;;;x
cs_port_spring;Spring (Mediterranean Climate);;;;;;;;;;;x
cs_summer;Summer (Mediterranean Climate);;;;;;;;;;;x
cs_port_summer;Summer (Mediterranean Climate);;;;;;;;;;;x
cs_autumn;Autumn (Mediterranean Climate);;;;;;;;;;;x
cs_port_autumn;Autumn (Mediterranean Climate);;;;;;;;;;;x
cs_winter;Winter (Mediterranean Climate);;;;;;;;;;;x
cs_port_winter;Winter (Mediterranean Climate);;;;;;;;;;;x
dfb_spring;Spring (Continental Climate);;;;;;;;;;;x
dfb_port_spring;Spring (Continental Climate);;;;;;;;;;;x
dfb_summer;Summer (Continental Climate);;;;;;;;;;;x
dfb_port_summer;Summer (Continental Climate);;;;;;;;;;;x
dfb_autumn;Autumn (Continental Climate);;;;;;;;;;;x
dfb_port_autumn;Autumn (Continental Climate);;;;;;;;;;;x
dfb_winter;Winter (Continental Climate);;;;;;;;;;;x
dfb_port_winter;Winter (Continental Climate);;;;;;;;;;;x
dfc_spring;Spring (Taiga Climate);;;;;;;;;;;x
dfc_port_spring;Spring (Taiga Climate);;;;;;;;;;;x
dfc_summer;Summer (Taiga Climate);;;;;;;;;;;x
dfc_port_summer;Summer (Taiga Climate);;;;;;;;;;;x
dfc_autumn;Autumn (Taiga Climate);;;;;;;;;;;x
dfc_port_autumn;Autumn (Taiga Climate);;;;;;;;;;;x
dfc_winter;Winter (Taiga Climate);;;;;;;;;;;x
dfc_port_winter;Winter (Taiga Climate);;;;;;;;;;;x
bs_spring;Spring (Steppe Climate);;;;;;;;;;;x
bs_port_spring;Spring (Steppe Climate);;;;;;;;;;;x
bs_summer;Summer (Steppe Climate);;;;;;;;;;;x
bs_port_summer;Summer (Steppe Climate);;;;;;;;;;;x
bs_autumn;Autumn (Steppe Climate);;;;;;;;;;;x
bs_port_autumn;Autumn (Steppe Climate);;;;;;;;;;;x
bs_winter;Winter (Steppe Climate);;;;;;;;;;;x
bs_port_winter;Winter (Steppe Climate);;;;;;;;;;;x
bw_spring;Spring (Desert Climate);;;;;;;;;;;x
bw_port_spring;Spring (Desert Climate);;;;;;;;;;;x
bw_summer;Summer (Desert Climate);;;;;;;;;;;x
bw_port_summer;Summer (Desert Climate);;;;;;;;;;;x
bw_autumn;Autumn (Desert Climate);;;;;;;;;;;x
bw_port_autumn;Autumn (Desert Climate);;;;;;;;;;;x
bw_winter;Winter(Desert Climate);;;;;;;;;;;x
bw_port_winter;Winter(Desert Climate);;;;;;;;;;;x
