#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTDESCrepublic.1;While walking in the crowded market, you feel something brush against your pocket. By the time you realize it’s a pickpocket, it’s too late. He runs off with your hard-earned money before you realize it, and he disappears into the crowds!;;;;;;;;;;;;;x
EVTOPTArepublic.1;My day just got worse.;;;;;;;;;;;;;x
EVTOPTBrepublic.1;I hope he finds good use for it.;;;;;;;;;;;;;x
EVTOPTCrepublic.1;HOW DARE HE!;;;;;;;;;;;;;x
EVTOPTDrepublic.1;Whatever.;;;;;;;;;;;;;x
EVTDESCrepublic.2;My best set of clothes is getting ruined, and there’s a ball coming up next month! The clothes merchant told me he’d be able to get a new set of dress clothes within that time, but what if I don’t like the new one?;;;;;;;;;;;;;x
EVTOPTArepublic.2;I’ll wait to buy the new one.;;;;;;;;;;;;;x
EVTOPTBrepublic.2;I don’t mind even the old, ragged clothes I have now.;;;;;;;;;;;;;x
EVTOPTCrepublic.2;Get me one right now, I don’t care about the price!;;;;;;;;;;;;;x
EVTDESCrepublic.3;One of my family’s ships has just grounded itself a few miles away from the city. We have enough time to save some of our wares and goods, but I’m afraid we won’t be able to save everything!;;;;;;;;;;;;;x
EVTOPTArepublic.3;Recover whatever we can!;;;;;;;;;;;;;x
EVTOPTBrepublic.3;Men, make sure you recover these goods in particular.;;;;;;;;;;;;;x
EVTDESCrepublic.4;A business associates has recently gone bankrupt due to a series of sudden misfortunes. He has come to you, begging for money. He says he can attempt one more business deal that, if successful, will allow him not only to pay his debts but also gain much profit, of which he’ll sure with you.;;;;;;;;;;;;;x
EVTOPTArepublic.4;Very well. I trust you.;;;;;;;;;;;;;x
EVTOPTBrepublic.4;Sorry, I can’t. A desperate man will do desperate things.;;;;;;;;;;;;;x
EVTTOOLTIPrepublic.5;The deal fails, and [Root.GetTitledFirstName]’s friend gets into serious trouble.;;;;;;;;;;;;;x
EVTTOOLTIPrepublic.6;The deal succeeds, and [Root.GetTitledFirstName] gets a lot of gold!;;;;;;;;;;;;;x
EVTDESCrepublic.5;Your business venture with your bankrupt associate failed! Not only did you lose money, but your associate will surely face serious legal consequences now. Because you supported such a risky venture, merchants everywhere might be more reluctant to do business with you from now on.;;;;;;;;;;;;;x
EVTOPTArepublic.5;Dammit.;;;;;;;;;;;;;x
EVTOPTBrepublic.5;DAMMIT.;;;;;;;;;;;;;x
EVTOPTCrepublic.5;Use whatever means necessary to reduce our losses!;;;;;;;;;;;;;x
EVTDESCrepublic.6;Your business venture with your bankrupt associate succeeded! Not only did your associate pay off his debts, both of you made much profit. As you both drink to your good fortune, your friend tells you: "I’ll make sure never to go into debt like that again. I’ve learned my lesson! I’ll never take risks again.";;;;;;;;;;;;;x
EVTOPTArepublic.6;I agree. It’s good to have some caution.;;;;;;;;;;;;;x
EVTOPTBrepublic.6;No, no! Commerce is risk! Life is nothing but risk!;;;;;;;;;;;;;x
EVTDESCrepublic.7;I’ve misjudged the price of goods for the new shipment, and now I’ll lose quite an amount of money when I sell the goods to my buyers.;;;;;;;;;;;;;x
EVTOPTArepublic.7;Why did I ever do that?;;;;;;;;;;;;;x
EVTOPTBrepublic.7;Convince my buyers to buy the goods at higher prices.;;;;;;;;;;;;;x
EVTDESCrepublic.8;I’ve received news that one of my associates has been convicted of fraud, among other things. This is surely a stain on my reputation as a businessman!;;;;;;;;;;;;;x
EVTOPTArepublic.8;I have to minimize the damage as much as I can.;;;;;;;;;;;;;x
EVTDESCrepublic.9;Another vendetta has broken out among two prominent families under your rule. These families aren't too powerful, relatively speaking, but they are powerful and influential enough that their activities are causing a lot of havoc in the area. This isn’t the first time you’ve heard of problems like this...;;;;;;;;;;;x
EVTOPTArepublic.9;Gah! These simpleton villagers!;;;;;;;;;;;;;x
EVTOPTBrepublic.9;Put an end to this feud. Now!;;;;;;;;;;;;;x
