#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
# TRIGGERED ONLY
nick_the_lioness_of_cintra;the Lioness of Cintra;;;;;;;;;;;;;x
nick_visitor;the Visitor;;;;;;;;;;;;;x
nick_dandelion;Dandelion;;;;;;;;;;;;;x
nick_fidhail;aén Fidháil;;;;;;;;;;;;;x
nick_dragonslayer;the Dragonslayer;;;;;;;;;;;;;x
nick_kingslayer;the Kingslayer;;;;;;;;;;;;;x
nick_adieu;Adieu;;;;;;;;;;;;;x
nick_pretty_kitty;Pretty Kitty;;;;;;;;;;;;;x
nick_sailor;the Sailor;;;;;;;;;;;;;x
nick_the_stern;the Stern;;;;;;;;;;;;;x
nick_the_white_knight;the White Knight;;;;;;;;;;;;;x
nick_the_emptyheaded;the Emptyheaded;;;;;;;;;;;;;x
nick_slackjaw;Slackjaw;;;;;;;;;;;;;x
nick_sea_boar;Sea Boar;;;;;;;;;;;;;x
nick_the_bearded;the Bearded;;;;;;;;;;;;;x
nick_raby;Raby;;;;;;;;;;;;;x
nick_the_white_wolf;the White Wolf;;;;;;;;;;;;;x
nick_the_uniter;the Uniter;;;;;;;;;;;;x
nick_the_restorer;the Restorer;;;;;;;;;;;;x
# GIVEN BY TRAITS
nick_the_white;the White;;;;;;;;;;;;;x
nick_the_black;the Black;;;;;;;;;;;;;x
nick_the_red;the Red;;;;;;;;;;;;;x
nick_the_elf;the Elf;;;;;;;;;;;;;x
nick_the_dwarf;the Dwarf;;;;;;;;;;;;;x
nick_the_wolf;the Wolf;le Loup;der Wolf;;El Lobo;;;;;;;;;x
nick_the_fox;the Fox;;;;;;;;;;;;;x
nick_the_falcon;the Falcon;;;;;;;;;;;;;x
nick_the_bear;the Bear;;;;;;;;;;;;;x
nick_the_snake;the Snake;;;;;;;;;;;;;x
nick_the_eagle;the Eagle;le Aigle;der Adler;;El Águila;;;;;;;;;x
nick_the_spider;the Spider;le Araignée;die Spinne;;El Araña;;;;;;;;;x
nick_the_ox;the Ox;le Bœuf;die Ochse;;El Buey;;;;;;;;;x
nick_the_boar;the Boar;le Verrat;der Wildschwein;;El Verraco;;;;;;;;;x
nick_the_bull;the Bull;;;;;;;;;;;;;x
nick_the_crow;the Ox;;;;;;;;;;;;;x
