#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTNAMEaok.1;Defiance of La Valette;;;;;;;;;;;;;x;
EVTDESCaok.1;The kingdom of Temeria is in turmoil. The mother of your bastard children Bussy and Anais, Maria Luiza La Valette has given in to ambitious lords that wish to put them on your throne for their own benefit. They have declared war on you led by Luisa's son Arjan La Valette.;;;;;;;;;;;;;x;
EVTOPTAaok.1;Those traitors.;;;;;;;;;;;;;x;
EVTNAMEaok.2;Defiance of La Valette;;;;;;;;;;;;;x;
EVTDESCaok.2;King Foltest's rule can't last any longer, he has defiled my mother, spent the coffers of Temeria for selfish needs. This ends now!;;;;;;;;;;;;;x;
EVTOPTAaok.2;For honour!;;;;;;;;;;;;;x;
EVTDESCaok.3;Arjan La Valette has been cornered with just a handful of men remaining. It is a good chance to resolve this pointless war peacefully.;;;;;;;;;;;;;x;
EVTOPTAaok.3;Surrender, Arjan! You will be treated with honour!;;;;;;;;;;;;;x;
EVTTOOLTIPaok.4;Demand surrender;;;;;;;;;;;;;x;
EVTOPTBaok.3;Cut them all down!;;;;;;;;;;;;;x;
EVTDESCaok.4;The king offers you a chance to surrender, promising to forgive and treat you with honour.;;;;;;;;;;;;;x;
EVTOPTAaok.4;Drop your weapons, men.;;;;;;;;;;;;;x;
EVTOPTBaok.4;Go plough yourself, King!;;;;;;;;;;;;;x;
EVTDESCaok.5;The mighty castle of La Valette has fallen.;;;;;;;;;;;;;x;
EVTOPTAaok.5;Ok.;;;;;;;;;;;;;x;
EVTDESCaok.6;The war is over, the castle has fallen and my children are safe and outside of reach of ambitious lords.;;;;;;;;;;;;;x;
EVTOPTAaok.6;They are my children.;;;;;;;;;;;;;x;
EVTOPTBaok.6;I will not leave them in hands of traitors.;;;;;;;;;;;;;x;
EVTOPTCaok.6;The war is over!;;;;;;;;;;;;;x;
EVTOPTAaok.7;Send the Witcher;;;;;;;;;;;;;x;
EVTOPTBaok.7;Send my marshal;;;;;;;;;;;;;x;
EVTOPTCaok.7;Go in myself;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
EVTNAMEaok.1003;The Unicorn Returns.;;;;;;;;;;;;;x;
EVTDESCaok.1003;Once again, war threatens to engulf Aedirn and the Pontar Valley, past atrocities and treaties alike cast aside in the name of ambition. Although the last war ended in the fiery retribution of the witch Sabrina Glevissig, that is all the more reason to press forward and bring honor to the fallen dead. The death of King Demavend has emboldened you, as you have finally returned to claim your right and finally bring an end to his battle for the land rightfully called Lormark, and perhaps much more.\nHowever, Upper Aedirn does not remain idle. Years of repression and racism have inspired a unified rebellion among the lesser classes, led by Saskia the Dragonslayer, all ready to defend and reform their homeland. Furthermore, Demavend’s son, Prince Stennis, can still claim rightful rule and challenge any aggression. A bloody star rises over this old field of battle, and the spirits tremble in their wake.;;;;;;;;;;;;;x;
EVTOPTAaok.1003;Continue...;;;;;;;;;;;;;x;
EVTNAMEaok.1000;Prelude to War.;;;;;;;;;;;;;x;
EVTDESCaok.1000;The nobles of Aedirn tremble at the thought of your return, and already they conspire against each other. Prince Stennis’ position is tenuous at best, juggling the demands of his nobles and the grievances of the peasants in the wake of his father’s death. With the disciplined forces of Kaedwen at your command, already greater in number, none shall bar your path.\nWell, in theory. Although unlikely, Stennis could find support from the other kingdoms, and he has the vaunted walls of Vergen on his side. Equally troublesome is the peasant and non-human rebellions engineered by Saskia, a wildcard of unknown power, and a threat to any monarch. Even if you win the war, Kaedwen might not emerge unscathed. Is your advantage best used to press for a victory through diplomatic channels, or shall war once again rain down upon the Pontar Valley?;;;;;;;;;;;;;x;
EVTOPTAaok.1000;Peace, they will self-destruct soon enough.;;;;;;;;;;;;;x;
EVTOPTBaok.1000;I will take what I want by force.;;;;;;;;;;;;;x;
EVTNAMEaok.1004;The Dragon has arisen!;;;;;;;;;;;;;x;
EVTDESCaok.1004;The plight and suffering of commoners and non-humans have at last reached the ears of a savior with the strength to annihilate their oppressors. Already local tyrants fall, and the people unite as one around you, Saskia the Dragonslayer. But now, instead of brandishing blades against you, nobles curry your favor, for a great evil has crossed into the Pontar Valley.\nKing Henselt’s ambitions knows no bounds, and he salivates at the thought of conquering Upper Aedirn and avenging his loss. Ever valiant, you move to defend the people under the joint banner of Prince Stennis, but doubt grips your allies. A bloody star rises over this old field of battle, and the spirits tremble in their wake.;;;;;;;;;;;;;x;
EVTOPTAaok.1004;Continue...;;;;;;;;;;;;;x;
EVTDESCaok.1001;You walk side by side with Demavend’s heir, fulfilling the role of bodyguard... for now. Henselt has little need for assassins, for already he has brought his elite soldiers into the valley, drawing ever close to Vergen. No doubt you will encounter the blackheart soon, but how does a hero of the weak deal with a tyrant from afar?\nThe possibilities swirl in your mind. You could shout down the king and prepare for righteous war, but at great and terrible cost no matter the victor. You could listen to Henselt’s offer, but passivity will certainly weaken your position. Or...you could leave the talks to Stennis, and let the nobles believe they have the power, your hands clean of this unholy mess.;;;;;;;;;;;;;x;
EVTOPTAaok.1001;Henselt is a pig, but perhaps he can be reasoned with.;;;;;;;;;;;;;x;
EVTOPTBaok.1001;Henselt will not give up, we must strike first!;;;;;;;;;;;;;x;
EVTOPTCaok.1001;I will wait and see how talks unfold...;;;;;;;;;;;;;x;
EVTNAMEaok.1005;Aedirn rots.;;;;;;;;;;;;;x;
EVTDESCaok.1005;The death of your father King Demavend has ruptured the fragile peace. Unrest reigns in Upper Aedirn thanks to the efforts of Saskia the Dragonslayer, gathering a horde of nonhumans and peasants in her crusade for anarchy, but her threat is dwarfed by the arrival of King Henselt of Kaedwen, amassing over five thousand troops along the border, just waiting for your move.\nA homegrown rebel is more trustworthy than a kingly claimant, so you have briefly allied with Saskia, hoping her legend will be weight you can use against Henselt. But, Prince Stennis, can you really unite your vassals and show the world your strength while beholden to another? A bloody star rises over this old field of battle, and the spirits tremble in their wake.;;;;;;;;;;;;;x;
EVTOPTAaok.1005;Continue...;;;;;;;;;;;;;x;
EVTDESCaok.1002;Time is running out. As if reports of Henselt's army moving across the ford was concerning enough, several nobles that have been missing and were reported seen in Upper Aedirn, perhaps seeking a backroom deal with Henselt. With Saskia at your side, you make haste to the Pontar Valley to put an end to this treachery and learn what Henselt really wants.\nYes, everything depends on Henselt, but what do you desire? This could be your chance to establish yourself as a gallant or formidable king, one either respected or feared by his vassals. Henselt has the advantage, true, and an ordinary man would not dare stoke his ire. But, there can be great value in risk...and perhaps even a chance to kill two birds with one stone.;;;;;;;;;;;;;x;
EVTOPTAaok.1002;Maybe Henselt will see reason.;;;;;;;;;;;;;x;
EVTOPTBaok.1002;Henselt forces will break against the walls of Vergen.;;;;;;;;;;;;;x;
EVTNAMEaok.1020;Peace!;;;;;;;;;;;;;x;
EVTDESCaok.1020;Though reluctant, Prince Stennis finally saw reason and has entered into more intricate negotiations. Though he stubbornly holds onto Upper Aedirn, you were offered a generous compensation, Aedirn’s coffers laid bare to appease the might of your armies. These riches will expand your base of power, and who knows? Stennis will have to deal with Saskia soon. One day, civil war will tear Aedirn and her armies apart, and you’ll be right there across the border, waiting, fortified, and very, very, rich.;;;;;;;;;;;;;x;
EVTOPTAaok.1020;Ok.;;;;;;;;;;;;;x;
