EVTDESCmagic.10;I was playing when suddently my head started to hurt and everything aroung me started to swirl around in blue colors.;;;;;;;;;;;;;x
EVTOPTAmagic.10;Arrrg...;;;;;;;;;;;;;x
EVTDESCmagic.30;I heard my [GetFromRelation] [From.GetFirstName] screaming, when I ran to him he had collapsed on floor with blue light swirling aroung him... magic.;;;;;;;;;;;;;x
EVTOPTAmagic.30;Send [From.GetHerHim] to the Ban Ard's Magic Academy.;;;;;;;;;;;;;x
EVTOPTBmagic.30;Send [From.GetHerHim] to the Aretuza Academy.;;;;;;;;;;;;;x
EVTOPTCmagic.30;Send [From.GetHerHim] to the Nilfgaard Magic Academy.;;;;;;;;;;;;;x
EVTOPTDmagic.30;The druids should be able to take care of [From.GetFirstName].;;;;;;;;;;;;;x
EVTOPTEmagic.30;Leave [From.GetFirstName] in court magician's [Root.job_mage.GetTitledName] care.;;;;;;;;;;;;;x
EVTOPTFmagic.30;I will find someone suitable to take care of [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTGmagic.30;Everything will be fine.;;;;;;;;;;;;;x
EVTOPTHmagic.30;I need to think...;;;;;;;;;;;;;x
EVTOPTImagic.30;I will not teach a monster!;;;;;;;;;;;;;x
EVTOPTJmagic.30;Kill the monster!;;;;;;;;;;;;;x
EVTDESCmagic.34;My [GetFromRelation] [FromFrom.GetFirstName] have displayed a talent for magic and knowing that you have experience with such matters, I entrust [From.GetFirstName] to your care!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.34;Ok;;;;;;;;;;;;;x
EVTDESCmagic.35;My Lord,\nknowing that you have experience with matters of magic, I wish to entrust my [GetFromRelation] [FromFrom.GetFirstName] to your care!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.35;Very well.;;;;;;;;;;;;;x
EVTOPTBmagic.35;I refuse.;;;;;;;;;;;;;x
EVTDESCmagic.36;My Lord,\nyour [GetFromFromRelation] [FromFrom.GetFirstName] have displayed a magic talent, and after some consideratons I have decided to send the child to Ban Ard academy where [FromFrom.GetSheHe] will be able to learn to control [FromFrom.GetHerHis] talents!\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTAmagic.36;Ok;;;;;;;;;;;;;x
