#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
mage_duel_start;You have challenged someone to a magic duel
challenge_mage_to_duel;Challenge Mage;;;;;;;;;x
challenge_mage_to_duel_desc;Challenge [Root.GetBestName] to a Magic Duel;;;;;;;;;x
TOOLTIPmageduel_targ_dec;[From.GetTitledFirstName] feels it is time to test his magical abilities in a true contest of strength. [Root.GetTitledName] will receive [From.GetTitledFirstName]'s challenge and decide whether to accept it.;;;;;;;;;x
EVTDESCmageduel.0;Mage Duel Start;;;;;;;;;x
EVTOPTAmageduel.0;Start;;;;;;;;;x
EVTDESCmageduel.990;[From.GetBestName] showed [From.GetHerselfHimself] to be a coward and did not accept my challenge afraid of my magical abilities.;;;;;;;;;x
EVTOPTAmageduel.990;No matter I will find another contestant soon;;;;;;;;;x
EVTDESCmageduel.991;[enemy.GetBestName] agreed to a duel on a neutral ground half way between our lands. It didn't take long for us to arrive at the location and begin our preparations. A circle has been drawn and we stepped inside it concentrating our magical powers.;;;;;;;;;x
EVTOPTAmageduel.991;It is time;;;;;;;;;x
EVTDESCmageduel.1;You begin to concentrate, trying to gather as much energy as possible.
CURRENT PHASE: CONCENTRATION\nNEXT PHASE: ATTACK;;;;;;;;;x
EVTOPTAmageduel.1;Begin Concentrating;;;;;;;;;x
EVTDESCmageduel.2;Your concentration was a masterful success
You Have #5# Concentration Points (CP) to Spend
CURRENT PHASE: ATTACK\nNEXT PHASE: DEFENSE;;;;;;;;;x
EVTOPTAmageduel.2;Alzur's Thunder (3CP);;;;;;;;;x
EVTOPTBmageduel.2;Magic Missile (2CP);;;;;;;;;x
EVTOPTCmageduel.2;Curse (1CP);;;;;;;;;x
EVTOPTDmageduel.2;Skip (0CP);;;;;;;;;x
EVTDESCmageduel.3;Your concentration was a great success
You Have #4# Concentration Points (CP) to Spend
CURRENT PHASE: ATTACK\nNEXT PHASE: DEFENSE;;;;;;;;;x
EVTDESCmageduel.4;Your concentration was a success
You Have #3# Concentration Points (CP) to Spend
CURRENT PHASE: ATTACK\nNEXT PHASE: DEFENSE;;;;;;;;;x
EVTDESCmageduel.5;You have failed at concentrating
You Have #2# Concentration Points (CP) to Spend
CURRENT PHASE: ATTACK\nNEXT PHASE: DEFENSE;;;;;;;;;x
EVTDESCmageduel.6;You could not concentrate at all
You Have #1# Concentration Point (CP) to Spend
CURRENT PHASE: ATTACK\nNEXT PHASE: DEFENSE;;;;;;;;;x
EVTDESCmageduel.7;You move to the defense phase
You Have #5# Concentration Points Remaining;;;;;;;;;x
EVTOPTAmageduel.7;Healing (5CP);;;;;;;;;x
EVTOPTBmageduel.7;Magic Shield (4CP);;;;;;;;;x
EVTOPTCmageduel.7;Counter Magic (3CP);;;;;;;;;x
EVTOPTDmageduel.7;Energy Flow (1CP);;;;;;;;;x
EVTDESCmageduel.8;You move to the defense phase
You have #4# Concentration Points Remaining;;;;;;;;;x
EVTDESCmageduel.9;You move to the defense phase
