severe_winter = {
	# Redania
	47 
	# Hengfors League
	78 79 80 81 82 83 84 85 86 389 406 
	# Kovir & Poviss
	68 69 70 71 72 73 74 75 76 77 387 388 
	# Jamurlak
	50 
	# Kaedwen
	87 89 90 94 102 103 104 105 106 107 108 109 110 111 112 113 114 115 386 411 
}
normal_winter = {
	# Novigrad
	64 
	# Smocze Coast
	149 150 151 152 153 158 159 160 161 162 163 164 382 392 393 395 399 410 
	# Pontar
	12 52 96 117 
	# Tir Tochair
	300 301 302 303 304 
	# Toussaint
	265 266 267 268 269 271 273 274 275 276 
	# Mahakam
	374 375 376 377 
	# Sodden
	32 33 34 35 36 37 38 39 40 41 
	# Nazair
	314 319 325 326 327 
	# Cintra
	345 346 347 348 349 350 351 352 353 354 403 407 
	# Aedirn
	116 118 119 120 121 122 123 124 125 126 127 128 129 130 390 
	# Emblonia
	13 14 15 25 26 27 43 44 
	# Redania
	42 45 46 53 54 55 56 57 58 59 60 61 62 63 65 66 67 400 401 409 
	# Temeria
	5 6 7 8 9 10 11 16 17 18 19 20 21 22 23 24 383 384 391 396 397 
	# Skellig
	143 144 145 146 147 148 
	# Ard Glas
	93 135 378 379 
	# Eternal Fire
	412 
	# Jamurlak
	48 49 51 385 
	# Dol Blathanna
	131 132 133 134 
	# Kaedwen
	88 91 92 95 97 98 99 100 101 
	# Brokilon
	154 155 156 157 483 484 
	# Brugge
	28 29 30 31 398 
	# Lyria & Rivia
	136 137 138 139 140 141 142 333 334 338 339 381 394 
}
mild_winter = {
	# Mag Turga
	281 282 283 284 285 286 287 288 289 308 402 
	# Maecht
	233 236 
	# Tir Tochair
	335 336 337 340 341 342 343 344 
	# Metinna
	277 278 279 280 290 291 292 293 294 295 296 297 298 299 305 306 307 309 310 311 404 405 
	# Nazair
	312 313 315 316 317 318 320 321 322 323 324 328 329 330 331 332 
	# Geso
	355 356 357 358 359 360 361 362 363 364 365 366 367 368 369 370 371 372 373 
	# Ebbing
	258 
}
