1;38;200;250;A1;x
2;4;100;255;A2;x
3;20;86;220;A3;x
4;255;255;255;A4;x
5;50;120;233;A5;x
6;87;82;90;A6;x
7;159;10;23;A7;x
8;68;18;115;A8;x
9;179;111;74;A9;x
10;56;88;126;A10;x
11;34;146;84;A11;x
12;32;124;33;A12;x
13;187;161;38;A13;x
14;185;98;127;A14;x
15;136;137;138;A15;x
16;40;4;41;A16;x
17;4;120;255;A17;x
18;183;135;50;A18;x
19;163;125;24;A19;x
20;228;193;101;A20;x
21;120;81;15;A21;x
22;163;197;124;A22;x
23;20;83;118;A23;x
24;197;161;65;A24;x
25;25;131;42;A25;x
26;70;174;0;A26;x
27;58;81;33;A27;x
28;52;76;26;A28;x
29;127;102;61;A29;x
30;129;224;18;A30;x
31;70;114;23;A31;x
32;104;69;8;A32;x
33;0;128;2;A33;x
34;157;0;25;A34;x
35;43;168;30;A35;x
36;141;63;75;A36;x
37;145;92;0;A37;x
38;229;152;15;A38;x
39;77;143;0;A39;x
40;77;255;0;A40;x
41;238;185;45;A41;x
42;13;58;85;A42;x
43;86;50;159;A43;x
44;132;89;38;A44;x
45;130;171;83;A45;x
46;11;64;11;A46;x
47;134;97;255;A47;x
48;60;92;25;A48;x
49;73;39;183;A49;x
50;48;86;3;A50;x
51;156;87;6;A51;x
52;201;127;40;A52;x
53;95;126;61;A53;x
54;161;123;60;A54;x
55;254;189;72;A55;x
56;160;255;120;A56;x
57;141;110;29;A57;x
58;57;131;25;A58;x
59;47;70;20;A59;x
60;61;112;39;A60;x
61;94;145;109;A61;x
62;78;97;52;A62;x
63;22;103;128;A63;x
64;240;27;61;A64;x
65;153;154;52;A65;x
66;82;135;164;A66;x
67;47;63;26;A67;x
68;25;148;65;A68;x
69;194;103;118;A69;x
70;5;58;75;A70;x
71;188;168;114;A71;x
72;148;217;149;A72;x
73;29;63;140;A73;x
74;155;80;91;A74;x
75;120;92;44;A75;x
76;132;53;65;A76;x
77;168;38;21;A77;x
78;85;104;64;A78;x
79;134;164;231;A79;x
80;69;172;71;A80;x
81;84;17;27;A81;x
82;188;136;74;A82;x
83;54;93;118;A83;x
84;89;65;27;A84;x
85;42;224;46;A85;x
86;238;0;37;A86;x
87;16;35;79;A87;x
88;65;142;31;A88;x
89;111;150;66;A89;x
90;109;29;42;A90;x
91;134;219;97;A91;x
92;106;108;16;A92;x
93;18;57;81;A93;x
94;22;112;24;A94;x
95;106;143;154;A95;x
96;20;106;21;A96;x
97;41;123;147;A97;x
98;32;65;140;A98;x
99;126;91;51;A99;x
100;158;87;98;A100;x
101;12;33;80;A101;x
